,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,year,month,day,Data Value
14760,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312.0,Borough Park (CD12),Winter 2017-18,2017,12,1,8.5
10402,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,106.0,High Bridge - Morrisania,2015-2017,2015,1,1,3.9
9224,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,102.0,Northeast Bronx,2015-2017,2015,1,1,48.4
1135,386,Ozone (O3),Mean,ppb,CD,211.0,Morris Park and Bronxdale (CD11),Summer 2021,2021,6,1,30.3
12580,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502.0,South Beach and Willowbrook (CD2),Annual Average 2010,2009,12,1,8.8
8016,375,Nitrogen dioxide (NO2),Mean,ppb,CD,315.0,Sheepshead Bay (CD15),Annual Average 2014,2013,12,1,18.0
6311,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Annual Average 2021,2021,1,1,6.9
2787,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303.0,East Harlem,Annual Average 2022,2022,1,1,6.1
1743,386,Ozone (O3),Mean,ppb,Borough,5.0,Staten Island,Summer 2016,2016,6,1,35.1
9357,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304.0,Bushwick (CD4),Winter 2012-13,2012,12,1,26.4
3818,386,Ozone (O3),Mean,ppb,UHF42,304.0,Upper West Side,Summer 2017,2017,6,1,25.6
10348,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Winter 2013-14,2013,12,1,11.5
1069,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),Annual Average 2022,2022,1,1,5.7
13351,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309.0,Union Square - Lower East Side,Summer 2010,2010,6,1,13.1
16625,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310.0,Union Square-Lower Manhattan,Winter 2021-22,2021,12,1,8.3
17507,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105.0,Midtown (CD5),Winter 2013-14,2013,12,1,41.0
13639,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,303.0,East Harlem,2013,2013,1,1,55.8
12662,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208.0,Canarsie - Flatlands,Summer 2019,2019,6,1,9.2
11043,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,203.0,Bedford Stuyvesant - Crown Heights,2009-2011,2009,1,1,105.4
4926,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Annual Average 2018,2018,1,1,21.7
11188,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,408.0,Jamaica,2012-2014,2012,1,2,5.9
6908,386,Ozone (O3),Mean,ppb,CD,303.0,Bedford Stuyvesant (CD3),Summer 2014,2014,6,1,29.9
801,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304.0,Upper West Side,Annual Average 2013,2012,12,1,26.5
13998,386,Ozone (O3),Mean,ppb,CD,402.0,Woodside and Sunnyside (CD2),Summer 2010,2010,6,1,33.3
5072,375,Nitrogen dioxide (NO2),Mean,ppb,CD,316.0,Brownsville (CD16),Winter 2021-22,2021,12,1,21.7
819,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306.0,Chelsea - Clinton,Annual Average 2009,2008,12,1,39.9
3563,386,Ozone (O3),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2017,2017,6,1,31.7
16965,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,Annual Average 2022,2022,1,1,5.4
2686,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208.0,Riverdale and Fieldston (CD8),Annual Average 2021,2021,1,1,6.5
6347,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Winter 2018-19,2018,12,1,7.3
757,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,Annual Average 2012,2011,12,1,22.3
4794,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105.0,Crotona -Tremont,Annual Average 2020,2020,1,1,6.3
16978,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2008-09,2008,12,1,12.4
8058,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1.0,Bronx,Annual Average 2011,2010,12,1,22.7
12832,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502.0,Stapleton - St. George,Winter 2021-22,2021,12,1,18.6
11152,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,3.0,Manhattan,2010,2010,1,1,114.7
12225,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,409.0,Kew Gardens and Woodhaven (CD9),2019,2019,1,1,3.0
8985,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104.0,Pelham - Throgs Neck,2015,2015,1,1,23.6
5738,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2017,2017,6,1,10.1
10430,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205.0,Fordham and University Heights (CD5),Annual Average 2022,2022,1,1,6.1
3204,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Winter 2018-19,2018,12,1,7.3
8655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Winter 2011-12,2011,12,1,28.1
16628,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211.0,Williamsburg - Bushwick,Winter 2017-18,2017,12,1,27.7
981,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,302.0,Central Harlem - Morningside Heights,2015-2017,2015,1,1,14.9
12989,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2013,2013,6,1,14.6
6369,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,309.0,Union Square - Lower East Side,2009-2011,2009,1,1,151.9
15462,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101.0,Kingsbridge - Riverdale,Summer 2015,2015,6,1,14.3
12118,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101.0,Financial District (CD1),Summer 2011,2011,6,1,13.2
8263,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,304.0,Upper West Side,2015-2017,2015,1,1,60.6
3163,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Winter 2017-18,2017,12,1,8.2
7113,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402.0,West Queens,Annual Average 2021,2021,1,1,18.6
14797,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206.0,Borough Park,Annual Average 2020,2020,1,1,5.9
1707,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Winter 2018-19,2018,12,1,6.9
17703,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402.0,West Queens,Summer 2019,2019,6,1,8.6
8366,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402.0,West Queens,Annual Average 2009,2008,12,1,11.0
8639,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104.0,Clinton and Chelsea (CD4),Summer 2013,2013,6,1,27.4
8453,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108.0,Upper East Side (CD8),Annual Average 2016,2015,12,31,9.1
14370,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503.0,Willowbrook,Summer 2017,2017,6,1,8.4
16586,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303.0,East Harlem,Summer 2012,2012,6,1,11.0
14558,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212.0,Williamsbridge and Baychester (CD12),Annual Average 2019,2019,1,1,6.7
1355,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206.0,Borough Park,Annual Average 2021,2021,1,1,16.7
436,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106.0,High Bridge - Morrisania,Summer 2014,2014,6,1,18.3
8087,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303.0,East Harlem,Winter 2010-11,2010,12,1,14.1
7080,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),Annual Average 2021,2021,1,1,7.6
10920,643,Annual vehicle miles traveled,Million miles,per square mile,CD,401.0,Long Island City and Astoria (CD1),2010,2010,1,1,43.2
11147,643,Annual vehicle miles traveled,Million miles,per square mile,CD,301.0,Greenpoint and Williamsburg (CD1),2010,2010,1,1,63.8
5439,386,Ozone (O3),Mean,ppb,CD,104.0,Clinton and Chelsea (CD4),Summer 2022,2022,6,1,29.5
6747,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,Winter 2021-22,2021,12,1,7.3
1273,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Annual Average 2019,2019,1,1,15.8
10974,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,408.0,Jamaica,2015-2017,2015,1,1,49.0
16022,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107.0,Hunts Point - Mott Haven,Winter 2015-16,2015,12,1,24.0
1912,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105.0,Crotona -Tremont,Annual Average 2015,2015,1,1,9.7
3668,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Summer 2017,2017,6,1,10.4
16341,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110.0,Central Harlem (CD10),Annual Average 2019,2019,1,1,19.8
1987,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316.0,Brownsville (CD16),Annual Average 2010,2009,12,1,10.0
3182,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211.0,Williamsburg - Bushwick,Summer 2016,2016,6,1,15.9
38,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2009,2009,6,1,10.4
6158,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201.0,Mott Haven and Melrose (CD1),Summer 2009,2009,6,1,24.8
16376,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2022,2022,1,1,14.1
17883,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301.0,Washington Heights,Annual Average 2010,2009,12,1,25.2
15188,375,Nitrogen dioxide (NO2),Mean,ppb,CD,502.0,South Beach and Willowbrook (CD2),Annual Average 2011,2010,12,1,16.3
192,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204.0,Highbridge and Concourse (CD4),Winter 2010-11,2010,12,1,14.9
13081,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308.0,Chelsea-Village,Winter 2016-17,2016,12,1,9.7
7661,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,306.0,Chelsea - Clinton,2015-2017,2015,1,1,9.4
2946,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2017,2017,6,1,7.7
3567,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,309.0,Union Square - Lower East Side,2012-2014,2012,1,2,36.2
7155,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104.0,Clinton and Chelsea (CD4),Annual Average 2017,2017,1,1,9.4
13092,386,Ozone (O3),Mean,ppb,CD,202.0,Hunts Point and Longwood (CD2),Summer 2017,2017,6,1,29.7
575,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4.0,Queens,Summer 2022,2022,6,1,10.6
14106,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308.0,Chelsea-Village,Winter 2019-20,2019,12,1,11.3
5776,386,Ozone (O3),Mean,ppb,CD,314.0,Flatbush and Midwood (CD14),Summer 2013,2013,6,1,30.8
14580,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502.0,Stapleton - St. George,Summer 2020,2020,6,1,6.6
13303,386,Ozone (O3),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2018,2018,6,1,29.6
905,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2017-18,2017,12,1,14.4
6852,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104.0,Pelham - Throgs Neck,Annual Average 2014,2013,12,1,19.3
1368,386,Ozone (O3),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2016,2016,6,1,34.3
2340,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Summer 2019,2019,6,1,18.9
6075,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111.0,East Harlem (CD11),Winter 2015-16,2015,12,1,8.6
652,375,Nitrogen dioxide (NO2),Mean,ppb,CD,409.0,Kew Gardens and Woodhaven (CD9),Annual Average 2020,2020,1,1,15.5
15104,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Annual Average 2015,2015,1,1,26.3
17824,386,Ozone (O3),Mean,ppb,UHF34,302.0,Central Harlem - Morningside Heights,Summer 2011,2011,6,1,29.4
12768,386,Ozone (O3),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2014,2014,6,1,31.3
15473,386,Ozone (O3),Mean,ppb,UHF34,305307.0,Upper East Side-Gramercy,Summer 2017,2017,6,1,23.8
8433,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,501502.0,Northern SI,Winter 2015-16,2015,12,1,7.7
4577,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305.0,Upper East Side,Winter 2010-11,2010,12,1,14.7
1930,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106.0,High Bridge - Morrisania,2009-2011,2009,1,1,130.1
9299,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,503.0,Willowbrook,2012-2014,2012,1,2,21.6
34,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,2011,12,1,9.7
12738,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309.0,Union Square - Lower East Side,Summer 2022,2022,6,1,13.9
10815,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104.0,Clinton and Chelsea (CD4),Summer 2014,2014,6,1,11.1
16571,386,Ozone (O3),Mean,ppb,UHF34,208.0,Canarsie - Flatlands,Summer 2010,2010,6,1,36.1
17544,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,502.0,Stapleton - St. George,2005,2005,1,1,1.5
4759,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303.0,East Harlem,Annual Average 2009,2008,12,1,11.6
1739,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Winter 2019-20,2019,12,1,25.5
1133,386,Ozone (O3),Mean,ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2013,2013,6,1,28.3
16167,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,406.0,Fresh Meadows,2005-2007,2005,1,1,54.8
8532,375,Nitrogen dioxide (NO2),Mean,ppb,CD,411.0,Bayside and Little Neck (CD11),Annual Average 2012,2011,12,1,17.9
997,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209.0,Parkchester and Soundview (CD9),Annual Average 2012,2011,12,1,9.5
1258,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4.0,Queens,Summer 2014,2014,6,1,13.7
7688,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,202.0,Downtown - Heights - Slope,2017-2019,2017,1,1,9.0
7789,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Winter 2009-10,2009,12,1,10.2
16429,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,401.0,Long Island City - Astoria,Winter 2021-22,2021,12,1,22.9
3517,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501.0,Port Richmond,Winter 2016-17,2016,12,1,21.5
13952,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208.0,Canarsie - Flatlands,Annual Average 2015,2015,1,1,16.5
11983,386,Ozone (O3),Mean,ppb,Borough,5.0,Staten Island,Summer 2021,2021,6,1,29.5
8002,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2010-11,2010,12,1,25.7
10101,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,309.0,Union Square - Lower East Side,2017-2019,2017,1,1,42.0
116,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2013,2012,12,1,9.4
17974,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201.0,Greenpoint,Winter 2013-14,2013,12,1,29.9
1048,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409.0,Kew Gardens and Woodhaven (CD9),Winter 2017-18,2017,12,1,7.9
4682,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Annual Average 2015,2015,1,1,9.1
12626,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Borough,1.0,Bronx,2014,2014,1,1,1.6
14236,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402.0,West Queens,Annual Average 2015,2015,1,1,21.1
17729,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2013-14,2013,12,1,12.1
10135,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,409.0,Southeast Queens,2012-2014,2012,1,2,27.4
3794,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),Annual Average 2013,2012,12,1,19.5
5426,386,Ozone (O3),Mean,ppb,UHF42,206.0,Borough Park,Summer 2012,2012,6,1,33.4
4620,386,Ozone (O3),Mean,ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),Summer 2022,2022,6,1,29.7
3824,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,5.0,Staten Island,2009-2011,2009,1,1,6.8
7342,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,402.0,West Queens,Winter 2009-10,2009,12,1,9.8
8233,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,1.0,Bronx,2015-2017,2015,1,1,177.5
10185,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,307.0,Gramercy Park - Murray Hill,2017-2019,2017,1,1,35.0
8564,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501.0,St. George and Stapleton (CD1),Annual Average 2020,2020,1,1,5.8
2984,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,Summer 2014,2014,6,1,8.7
1517,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202.0,Downtown - Heights - Slope,Winter 2019-20,2019,12,1,8.6
4636,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Summer 2016,2016,6,1,7.9
15820,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307.0,Upper East Side-Gramercy,Winter 2008-09,2008,12,1,16.4
17722,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,101.0,Kingsbridge - Riverdale,Summer 2010,2010,6,1,11.8
4836,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Winter 2008-09,2008,12,1,12.9
9448,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408.0,Jamaica,2005-2007,2005,1,1,113.6
1749,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Annual Average 2011,2010,12,1,11.1
16598,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206.0,Borough Park,Winter 2017-18,2017,12,1,24.2
12463,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,UHF42,201.0,Greenpoint,2005,2005,1,1,3.7
7439,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,501.0,Port Richmond,2015-2017,2015,1,1,17.4
493,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105.0,Midtown (CD5),Winter 2021-22,2021,12,1,10.1
15767,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,1.0,New York City,2015,2015,1,1,27.4
3073,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,210.0,Coney Island - Sheepshead Bay,2017-2019,2017,1,1,30.0
17116,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2016,2016,6,1,9.2
7714,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,503504.0,Southern SI,Winter 2014-15,2014,12,1,8.3
16903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403.0,Flushing - Clearview,Annual Average 2017,2017,1,1,18.5
17414,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,312.0,Borough Park (CD12),2005,2005,1,1,55.2
9933,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,402.0,West Queens,2005-2007,2005,1,1,61.5
3677,386,Ozone (O3),Mean,ppb,UHF42,410.0,Rockaways,Summer 2020,2020,6,1,31.5
7990,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Summer 2012,2012,6,1,8.2
14853,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207.0,East Flatbush - Flatbush,Winter 2021-22,2021,12,1,6.7
5859,386,Ozone (O3),Mean,ppb,Borough,2.0,Brooklyn,Summer 2022,2022,6,1,34.7
5497,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2013,2012,12,1,16.7
15471,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103.0,Fordham - Bronx Pk,Winter 2015-16,2015,12,1,21.5
12797,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502.0,Stapleton - St. George,Annual Average 2012,2011,12,1,8.2
6804,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Winter 2010-11,2010,12,1,11.6
14123,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Annual Average 2014,2013,12,1,19.8
14374,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302.0,Fort Greene and Brooklyn Heights (CD2),Annual Average 2018,2018,1,1,7.8
2118,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306.0,Park Slope and Carroll Gardens (CD6),Winter 2013-14,2013,12,1,12.9
9701,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110.0,Central Harlem (CD10),Summer 2019,2019,6,1,8.2
12917,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308.0,Chelsea-Village,Summer 2017,2017,6,1,24.9
12805,386,Ozone (O3),Mean,ppb,CD,311.0,Bensonhurst (CD11),Summer 2019,2019,6,1,31.6
7434,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Summer 2020,2020,6,1,6.7
